Material,Yield Strength (Pa),Density (log transformation),Elasticity (Pa),Tensile Stress (Pa),Thickness (mm),Force (N)
Mat 1,900000,5.192957,2000000,150000,12,31903
Mat 1,900000,5.192957,2000000,150000,12,32047
Mat 1,900000,5.192957,20000000,150000,12,32643
Mat 1,900000,5.192957,20000000,150000,14,14144
Mat 1,900000,5.192957,20000000,150000,14,16071
Mat 1,900000,5.192957,20000000,150000,14,17050
Mat 1,900000,5.192957,20000000,150000,15,7985
Mat 1,900000,5.192957,20000000,150000,15,7985
Mat 1,900000,5.192957,20000000,150000,15,8151
Mat 1,900000,5.192957,20000000,150000,16,7375
Mat 1,900000,5.192957,20000000,150000,16,7760
Mat 1,900000,5.192957,20000000,150000,16,9273
Mat 1,900000,5.192957,20000000,150000,18,5925
Mat 1,900000,5.192957,20000000,150000,18,6301
Mat 1,900000,5.192957,20000000,150000,18,6497
Mat 1,900000,5.192957,20000000,150000,20,5077
Mat 1,900000,5.192957,20000000,150000,20,5204
Mat 1,900000,5.192957,20000000,150000,20,5298
Mat 1,900000,5.192957,20000000,150000,21,4854
Mat 1,900000,5.192957,20000000,150000,21,5035
Mat 1,900000,5.192957,20000000,150000,21,5481
Mat 1,900000,5.192957,20000000,150000,22,4691
Mat 1,900000,5.192957,20000000,150000,22,4737
Mat 1,900000,5.192957,20000000,150000,22,4897
Mat 1,900000,5.192957,20000000,150000,24,4489
Mat 1,900000,5.192957,20000000,150000,24,4604
Mat 1,900000,5.192957,20000000,150000,24,4636
Mat 2,190000,5.096813,4100000,1600000,16,33000
Mat 2,190000,5.096813,4100000,1600000,16,33353.5476
Mat 2,190000,5.096813,4100000,1600000,16,33020.01213
Mat 2,190000,5.096813,4100000,1600000,18,17138
Mat 2,190000,5.096813,4100000,1600000,18,17381.33874
Mat 2,190000,5.096813,4100000,1600000,18,17207.52535
Mat 2,190000,5.096813,4100000,1600000,20,12583
Mat 2,190000,5.096813,4100000,1600000,20,12671.70191
Mat 2,190000,5.096813,4100000,1600000,20,12544.98489
Mat 2,190000,5.096813,4100000,1600000,21,10739
Mat 2,190000,5.096813,4100000,1600000,21,10814.70292
Mat 2,190000,5.096813,4100000,1600000,21,10706.55589
Mat 2,190000,5.096813,4100000,1600000,22,8342
Mat 2,190000,5.096813,4100000,1600000,22,8400.805639
Mat 2,190000,5.096813,4100000,1600000,22,8316.797583
Mat 2,190000,5.096813,4100000,1600000,24,5279
Mat 2,190000,5.096813,4100000,1600000,24,5316.21
Mat 2,190000,5.096813,4100000,1600000,24,5263.05
Mat 2,190000,5.096813,4100000,1600000,26,5134
Mat 2,190000,5.096813,4100000,1600000,26,5263.48
Mat 2,190000,5.096813,4100000,1600000,26,5210.85
Mat 3,1000000,5.503704,10000000,1500000,12,33000
Mat 3,1000000,5.503704,10000000,1500000,12,33848
Mat 3,1000000,5.503704,10000000,1500000,12,34190
Mat 3,1000000,5.503704,10000000,1500000,14,17138
Mat 3,1000000,5.503704,10000000,1500000,14,17148
Mat 3,1000000,5.503704,10000000,1500000,14,17322
Mat 3,1000000,5.503704,10000000,1500000,16,12583
Mat 3,1000000,5.503704,10000000,1500000,16,12591
Mat 3,1000000,5.503704,10000000,1500000,16,12718
Mat 3,1000000,5.503704,10000000,1500000,18,10739
Mat 3,1000000,5.503704,10000000,1500000,18,10746
Mat 3,1000000,5.503704,10000000,1500000,18,10854
Mat 3,1000000,5.503704,10000000,1500000,20,8317
Mat 3,1000000,5.503704,10000000,1500000,20,8342
Mat 3,1000000,5.503704,10000000,1500000,20,8401
Mat 3,1000000,5.503704,10000000,1500000,22,5279
Mat 3,1000000,5.503704,10000000,1500000,22,5300
Mat 3,1000000,5.503704,10000000,1500000,22,5354
Mat 3,1000000,5.503704,10000000,1500000,24,5134
Mat 3,1000000,5.503704,10000000,1500000,24,5137
Mat 3,1000000,5.503704,10000000,1500000,24,5189
Mat 4,810000,5.348059,12000,1350000,10,30559
